id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
1017268;2010-09-08;Quarta;18:00:00;SP;116;215.0;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1161686;2010-08-23;Segunda;07:40:00;SP;116;210.0;GUARULHOS;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;3;3
1165107;2010-09-05;Domingo;13:10:00;SP;116;189.3;SANTA ISABEL;Outras;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Decrescente;Sol;Dupla;Reta;Rural;1;1
636214;2010-01-01;Sexta;13:30:00;SP;116;178.0;GUARAREMA;Outras;Saída de Pista;Sem Vítimas;Pleno dia;Decrescente;Chuva;Simples;Curva;Rural;1;1
636223;2010-01-01;Sexta;14:30:00;SP;116;137.7;SAO JOSE DOS CAMPOS;Outras;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Urbano;1;1
636332;2010-01-01;Sexta;18:50:00;SP;116;101.3;PINDAMONHANGABA;Outras;Colisão lateral;Sem Vítimas;Anoitecer;Crescente;Chuva;Dupla;Reta;Rural;2;2
636342;2010-01-01;Sexta;15:00:00;SP;116;177.2;GUARAREMA;Defeito na via;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Curva;Rural;1;1
636401;2010-01-01;Sexta;13:00:00;SP;116;186.0;SANTA ISABEL;Outras;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Curva;Rural;1;1
636412;2010-01-01;Sexta;17:00:00;SP;116;190.0;SANTA ISABEL;Outras;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Rural;1;1
636660;2010-01-02;Sábado;16:00:00;SP;116;214.0;GUARULHOS;Outras;Colisão com objeto fixo;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Múltipla;Reta;Urbano;1;1
637125;2010-01-03;Domingo;17:15:00;SP;116;155.5;SAO JOSE DOS CAMPOS;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
637149;2010-01-03;Domingo;14:45:00;SP;116;226.5;GUARULHOS;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
637151;2010-01-02;Sábado;16:30:00;SP;116;207.0;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Chuva;Múltipla;Reta;Urbano;2;2
637188;2010-01-03;Domingo;02:00:00;SP;116;211.0;GUARULHOS;Outras;Colisão traseira;Com Vítimas Feridas;Plena noite;Crescente;Nublado;Múltipla;Reta;Urbano;7;2
637264;2010-01-03;Domingo;17:30:00;SP;116;165.0;JACAREI;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Rural;2;2
637276;2010-01-03;Domingo;09:10:00;SP;116;217.0;GUARULHOS;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
637280;2010-01-03;Domingo;20:05:00;SP;116;142.3;SAO JOSE DOS CAMPOS;Defeito mecânico em veículo;Capotamento;Com Vítimas Feridas;Plena noite;Decrescente;Nublado;Dupla;Reta;Urbano;2;1
637494;2010-01-04;Segunda;08:00:00;SP;116;146.0;SAO JOSE DOS CAMPOS;Outras;Colisão com objeto fixo;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;1;1
637792;2010-01-04;Segunda;09:50:00;SP;116;101.0;PINDAMONHANGABA;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;2;2
637838;2010-01-04;Segunda;10:30:00;SP;116;100.2;PINDAMONHANGABA;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;3;3
637863;2010-01-04;Segunda;17:00:00;SP;116;222.0;GUARULHOS;Outras;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;1;1
637938;2010-01-04;Segunda;18:20:00;SP;116;139.8;SAO JOSE DOS CAMPOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;2;2
637979;2010-01-04;Segunda;10:10:00;SP;116;100.6;PINDAMONHANGABA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;2;2
638076;2010-01-05;Terça;00:50:00;SP;116;137.9;SAO JOSE DOS CAMPOS;Outras;Capotamento;Com Vítimas Feridas;Plena noite;Decrescente;Ceu Claro;Dupla;Reta;Urbano;1;1
638157;2010-01-03;Domingo;11:20:00;SP;116;100.5;PINDAMONHANGABA;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;9;9
