id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
405309;2022-01-01;sábado;21:00:00;SP;116;147.0;SAO JOSE DOS CAMPOS;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Múltipla;Reta;Sim;3;2
406136;2022-01-05;quarta-feira;18:50:00;SP;116;205.0;ARUJA;Mal súbito do condutor;Colisão com objeto;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Múltipla;Reta;Sim;1;1
408301;2022-01-12;quarta-feira;22:30:00;SP;116;202.0;ARUJA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;3;2
408531;2022-01-14;sexta-feira;08:30:00;SP;116;216.8;GUARULHOS;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Não Informado;Sim;4;3
409388;2022-01-17;segunda-feira;07:00:00;SP;116;213.5;GUARULHOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Múltipla;Reta;Sim;3;2
409508;2022-01-17;segunda-feira;18:00:00;SP;116;157.5;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Anoitecer;Decrescente;Sol;Dupla;Não Informado;Sim;3;3
409577;2022-01-18;terça-feira;03:00:00;SP;116;224.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Não;2;2
409594;2022-01-18;terça-feira;05:50:00;SP;116;214.0;GUARULHOS;Ausência de reação do condutor;Colisão com objeto;Sem Vítimas;Amanhecer;Crescente;Céu Claro;Múltipla;Desvio Temporário;Sim;3;2
409641;2022-01-18;terça-feira;11:00:00;SP;116;205.0;ARUJA;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;2
409771;2022-01-18;terça-feira;21:00:00;SP;116;114.0;TAUBATE;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;3;2
409918;2022-01-19;quarta-feira;19:18:00;SP;116;228.0;SAO PAULO;Ingestão de álcool pelo condutor;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Múltipla;Não Informado;Sim;3;3
410138;2022-01-21;sexta-feira;04:00:00;SP;116;223.0;GUARULHOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Não;2;2
410493;2022-01-22;sábado;21:20:00;SP;116;216.0;GUARULHOS;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;1
410592;2022-01-23;domingo;07:40:00;SP;116;137.0;SAO JOSE DOS CAMPOS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;2
411040;2022-01-25;terça-feira;13:30:00;SP;116;214.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Múltipla;Reta;Sim;4;2
411299;2022-01-27;quinta-feira;00:30:00;SP;116;198.0;ARUJA;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Não Informado;Não;2;2
411549;2022-01-28;sexta-feira;08:30:00;SP;116;200.9;ARUJA;Velocidade Incompatível;Tombamento;Sem Vítimas;Pleno dia;Crescente;Nublado;Dupla;Curva;Não;1;1
412115;2022-01-31;segunda-feira;07:15:00;SP;116;143.3;SAO JOSE DOS CAMPOS;Chuva;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;Sim;8;6
412179;2022-01-31;segunda-feira;15:22:00;SP;116;216.5;GUARULHOS;Pista Escorregadia;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Múltipla;Desvio Temporário;Sim;1;1
412482;2022-02-02;quarta-feira;13:04:00;SP;116;144.3;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Múltipla;Desvio Temporário;Sim;6;4
412604;2022-02-03;quinta-feira;08:15:00;SP;116;225.0;GUARULHOS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Não;6;2
412617;2022-02-03;quinta-feira;08:00:00;SP;116;177.0;GUARAREMA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Amanhecer;Crescente;Nublado;Dupla;Reta;Não;1;1
