id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
1035753;2012-01-01;Domingo;17:15:00;SP;116;108.0;TAUBATE;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;2;2
1036347;2012-01-01;Domingo;03:30:00;SP;116;228.0;SAO PAULO;Defeito na via;Colisão com objeto fixo;Sem Vítimas;Plena noite;Crescente;Chuva;Dupla;Reta;Urbano;1;1
1036412;2012-01-01;Domingo;04:40:00;SP;116;218.9;GUARULHOS;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Plena noite;Crescente;Chuva;Múltipla;Reta;Urbano;1;1
1036519;2012-01-01;Domingo;16:40:00;SP;116;116.0;TAUBATE;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;2;2
1036611;2012-01-02;Segunda;18:45:00;SP;116;107.7;TAUBATE;Outras;Colisão com objeto fixo;Sem Vítimas;Anoitecer;Decrescente;Nublado;Dupla;Reta;Urbano;1;1
1036637;2012-01-02;Segunda;22:30:00;SP;116;212.0;GUARULHOS;Outras;Colisão lateral;Com Vítimas Feridas;Plena noite;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1036816;2012-01-03;Terça;08:40:00;SP;116;149.0;SAO JOSE DOS CAMPOS;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
1036840;2012-01-03;Terça;09:15:00;SP;116;116.0;TAUBATE;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Sol;Dupla;Reta;Urbano;2;2
1036992;2012-01-03;Terça;09:38:00;SP;116;165.0;JACAREI;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Rural;2;2
1037105;2012-01-02;Segunda;16:15:00;SP;116;108.0;TAUBATE;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;4;4
1037116;2012-01-03;Terça;18:05:00;SP;116;229.0;SAO PAULO;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1037193;2012-01-02;Segunda;18:00:00;SP;116;158.0;JACAREI;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Sol;Dupla;Reta;Urbano;3;3
1037257;2012-01-02;Segunda;18:40:00;SP;116;106.9;TAUBATE;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;4;4
