id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
12;2014-11-22;Sábado;08:30:00;SP;116;212.0;GUARULHOS;Outras;Colisão com objeto fixo;(null);Pleno dia;Crescente;Sol;Múltipla;Reta;Urbano;1;1
83123555;2014-01-01;Quarta;17:10:00;SP;116;142.6;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Chuva;Dupla;Reta;Urbano;4;4
83123570;2014-01-01;Quarta;19:30:00;SP;116;205.0;ARUJA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Nublado;Múltipla;Reta;Urbano;3;3
83123594;2014-01-01;Quarta;19:20:00;SP;116;125.0;CACAPAVA;Outras;Saída de Pista;Com Vítimas Feridas;Plena noite;Decrescente;Chuva;Dupla;Reta;Urbano;2;2
83123897;2014-01-02;Quinta;09:00:00;SP;116;115.6;TAUBATE;Falta de atenção;Saída de Pista;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;4;3
83123937;2014-01-02;Quinta;13:30:00;SP;116;209.0;GUARULHOS;Defeito mecânico em veículo;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;1;1
83124108;2014-01-02;Quinta;19:30:00;SP;116;150.0;SAO JOSE DOS CAMPOS;Defeito mecânico em veículo;Colisão com objeto móvel;Sem Vítimas;Anoitecer;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
83124182;2014-01-02;Quinta;15:15:00;SP;116;127.3;CACAPAVA;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Curva;Urbano;2;2
83124268;2014-01-02;Quinta;18:00:00;SP;116;209.0;GUARULHOS;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;5;4
83124399;2014-01-01;Quarta;22:15:00;SP;116;216.0;GUARULHOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Chuva;Múltipla;Reta;Urbano;2;2
