id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
323840;2008-01-01;Terça;03:15:00;SP;116;222.0;GUARULHOS;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Rural;2;2
324473;2008-01-02;Quarta;16:05:00;SP;116;124.5;CACAPAVA;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Urbano;2;2
324824;2008-01-01;Terça;19:30:00;SP;116;208.0;GUARULHOS;Falta de atenção;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
324919;2008-01-03;Quinta;17:05:00;SP;116;145.0;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Urbano;1;1
324937;2008-01-03;Quinta;15:50:00;SP;116;161.0;JACAREI;Outras;Saída de Pista;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Urbano;1;1
324946;2008-01-03;Quinta;16:00:00;SP;116;134.4;SAO JOSE DOS CAMPOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;2;2
325034;2008-01-02;Quarta;05:10:00;SP;116;124.0;CACAPAVA;Outras;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
325045;2008-01-01;Terça;15:55:00;SP;116;227.0;GUARULHOS;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Rural;4;3
325158;2008-01-02;Quarta;18:30:00;SP;116;173.4;JACAREI;Outras;Colisão com objeto móvel;Com Vítimas Feridas;Anoitecer;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
325198;2008-01-02;Quarta;09:00:00;SP;116;221.9;GUARULHOS;Dormindo;Capotamento;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;1;1
