id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
537;2017-01-02;segunda-feira;17:00:00;SP;116;167.0;JACAREI;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;2
596;2017-01-02;segunda-feira;20:30:00;SP;116;139.4;SAO JOSE DOS CAMPOS;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Chuva;Dupla;Reta;Sim;2;1
659;2017-01-03;terça-feira;07:05:00;SP;116;178.0;GUARAREMA;Defeito Mecânico no Veículo;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1;1
1641;2017-01-06;sexta-feira;23:25:00;SP;116;102.5;PINDAMONHANGABA;Defeito Mecânico no Veículo;Tombamento;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;1;1
2509;2017-01-09;segunda-feira;20:49:00;SP;116;206.0;GUARULHOS;Falta de Atenção à Condução;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Chuva;Múltipla;Reta;Sim;1;1
2615;2017-01-10;terça-feira;14:25:00;SP;116;208.8;GUARULHOS;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Sim;2;2
2673;2017-01-10;terça-feira;18:10:00;SP;116;218.7;GUARULHOS;Velocidade Incompatível;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Múltipla;Reta;Sim;8;7
2730;2017-01-10;terça-feira;22:30:00;SP;116;200.7;ARUJA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;2
2760;2017-01-11;quarta-feira;06:25:00;SP;116;225.6;GUARULHOS;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Amanhecer;Crescente;Céu Claro;Múltipla;Reta;Sim;2;2
2956;2017-01-11;quarta-feira;19:35:00;SP;116;130.4;CACAPAVA;Defeito Mecânico no Veículo;Danos eventuais;Sem Vítimas;Anoitecer;Decrescente;Chuva;Dupla;Desvio Temporário;Sim;1;1
3008;2017-01-12;quinta-feira;00:05:00;SP;116;175.9;GUARAREMA;Falta de Atenção à Condução;Colisão com objeto estático;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;3;3
3179;2017-01-12;quinta-feira;17:42:00;SP;116;102.7;PINDAMONHANGABA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Não Informado;Não;2;2
3437;2017-01-13;sexta-feira;16:55:00;SP;116;216.0;GUARULHOS;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Múltipla;Não Informado;Sim;4;3
