id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
332889;2021-01-07;quinta-feira;09:50:00;SP;116;119.2;TAUBATE;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;3;2
332955;2021-01-07;quinta-feira;16:10:00;SP;116;166.7;JACAREI;Manobra de mudança de faixa;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;3;3
333107;2021-01-08;sexta-feira;12:20:00;SP;116;103.2;TAUBATE;Manobra de mudança de faixa;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Não;2;1
333577;2021-01-10;domingo;16:26:00;SP;116;123.0;CACAPAVA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Não;4;2
333956;2021-01-12;terça-feira;07:30:00;SP;116;219.6;GUARULHOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Múltipla;Reta;Não;4;4
334672;2021-01-15;sexta-feira;21:30:00;SP;116;198.0;ARUJA;Ultrapassagem Indevida;Queda de ocupante de veículo;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Múltipla;Reta;Não;4;2
334864;2021-01-16;sábado;18:00:00;SP;116;225.0;GUARULHOS;Ausência de reação do condutor;Colisão lateral;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;2
335404;2021-01-19;terça-feira;16:10:00;SP;116;221.0;GUARULHOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Múltipla;Reta;Sim;5;3
335873;2021-01-22;sexta-feira;07:30:00;SP;116;174.5;JACAREI;Demais falhas mecânicas ou elétricas;Colisão com objeto;Com Vítimas Fatais;Pleno dia;Crescente;Sol;Dupla;Desvio Temporário;Não;1;1
336532;2021-01-06;quarta-feira;08:05:00;SP;116;135.6;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;6;6
337449;2021-01-30;sábado;10:00:00;SP;116;104.0;TAUBATE;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;5;4
338271;2021-02-03;quarta-feira;07:00:00;SP;116;163.0;JACAREI;Objeto estático sobre o leito carroçável;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Sol;Dupla;Reta;Não;1;1
338312;2021-02-03;quarta-feira;11:40:00;SP;116;108.0;TAUBATE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;3;2
338404;2021-02-03;quarta-feira;20:55:00;SP;116;209.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Desvio Temporário;Sim;3;3
338514;2021-02-04;quinta-feira;14:45:00;SP;116;225.8;GUARULHOS;Manobra de mudança de faixa;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Não Informado;Sim;4;3
338741;2021-02-05;sexta-feira;16:30:00;SP;116;217.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;2;2
338855;2021-02-06;sábado;01:00:00;SP;116;217.0;GUARULHOS;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Não;2;2
338931;2021-02-06;sábado;11:45:00;SP;116;157.0;SAO JOSE DOS CAMPOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Não Informado;Sim;4;2
339364;2021-02-08;segunda-feira;05:40:00;SP;116;130.0;CACAPAVA;Demais falhas mecânicas ou elétricas;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;4;3
339454;2021-02-08;segunda-feira;16:00:00;SP;116;227.1;GUARULHOS;Problema com o freio;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Não;2;2
339570;2021-02-09;terça-feira;09:10:00;SP;116;112.8;TAUBATE;Obstrução na via;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;2
340054;2021-01-31;domingo;02:30:00;SP;116;229.0;GUARULHOS;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Múltipla;Reta;Sim;2;2
340119;2021-02-12;sexta-feira;02:20:00;SP;116;183.5;SANTA ISABEL;Velocidade Incompatível;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;Reta;Não;2;2
340121;2021-02-12;sexta-feira;02:15:00;SP;116;117.1;TAUBATE;Manobra de mudança de faixa;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;2;2
340893;2021-02-15;segunda-feira;13:20:00;SP;116;191.8;SANTA ISABEL;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Não Informado;Não;2;2
341100;2021-02-16;terça-feira;17:20:00;SP;116;101.5;PINDAMONHANGABA;Condutor deixou de manter distância do veículo da frente;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Não Informado;Não;4;4
