id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
471888;2009-01-01;Quinta;19:55:00;SP;116;99.0;PINDAMONHANGABA;Outras;Colisão com objeto fixo;Com Vítimas Feridas;Anoitecer;Crescente;Chuva;Simples;Reta;Rural;2;1
472029;2009-01-02;Sexta;08:40:00;SP;116;157.0;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Urbano;2;2
472031;2009-01-01;Quinta;11:45:00;SP;116;227.0;GUARULHOS;Outras;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Curva;Urbano;1;1
472250;2009-01-02;Sexta;11:05:00;SP;116;180.7;GUARAREMA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Múltipla;Reta;Rural;5;5
472351;2009-01-01;Quinta;06:30:00;SP;116;106.8;TAUBATE;Outras;Atropelamento de animal;Sem Vítimas;Pleno dia;Crescente;Nublado;Dupla;Reta;Urbano;1;1
472422;2009-01-01;Quinta;16:00:00;SP;116;211.0;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Urbano;2;2
472582;2009-01-03;Sábado;10:30:00;SP;116;124.0;CACAPAVA;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Rural;2;2
472680;2009-01-01;Quinta;07:30:00;SP;116;216.0;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Nublado;Simples;Reta;Urbano;2;2
473106;2009-01-03;Sábado;11:45:00;SP;116;191.0;SANTA ISABEL;Outras;Colisão com objeto móvel;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Curva;Rural;2;2
473182;2009-01-04;Domingo;14:39:00;SP;116;106.8;TAUBATE;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;2;2
473186;2009-01-04;Domingo;14:40:00;SP;116;106.8;TAUBATE;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;2;2
473218;2009-01-04;Domingo;15:20:00;SP;116;102.5;PINDAMONHANGABA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Rural;2;2
473320;2009-01-04;Domingo;20:30:00;SP;116;229.0;SAO PAULO;Outras;Colisão com objeto móvel;Sem Vítimas;Plena noite;Decrescente;Nublado;Múltipla;Reta;Urbano;1;1
473340;2009-01-05;Segunda;02:40:00;SP;116;117.0;TAUBATE;Ultrapassagem indevida;Colisão lateral;Com Vítimas Feridas;Plena noite;Decrescente;Chuva;Dupla;Reta;Urbano;3;2
473542;2009-01-04;Domingo;17:10:00;SP;116;206.0;GUARULHOS;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Nublado;Dupla;Reta;Rural;2;2
473550;2009-01-04;Domingo;17:10:00;SP;116;213.0;GUARULHOS;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Urbano;3;3
473705;2009-01-05;Segunda;19:05:00;SP;116;114.9;TAUBATE;Falta de atenção;Colisão lateral;Sem Vítimas;Anoitecer;Decrescente;Ceu Claro;Dupla;Reta;Urbano;3;3
473712;2009-01-05;Segunda;19:15:00;SP;116;210.3;GUARULHOS;Outras;Colisão lateral;Sem Vítimas;Plena noite;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
473744;2009-01-04;Domingo;20:25:00;SP;116;102.5;PINDAMONHANGABA;Falta de atenção;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Chuva;Dupla;Reta;Rural;3;3
