id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
1000025;2011-10-28;Sexta;18:25:00;SP;116;221.0;GUARULHOS;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1000102;2011-10-20;Quinta;18:30:00;SP;116;155.7;SAO JOSE DOS CAMPOS;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;4;4
1000151;2011-10-28;Sexta;09:00:00;SP;116;162.0;JACAREI;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Rural;2;2
1000171;2011-10-25;Terça;22:45:00;SP;116;159.0;SAO JOSE DOS CAMPOS;Outras;Colisão traseira;Sem Vítimas;Plena noite;Decrescente;Ceu Claro;Dupla;Reta;Rural;2;2
1000214;2011-10-29;Sábado;07:45:00;SP;116;223.0;GUARULHOS;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Dupla;Curva;Urbano;1;1
1000239;2011-10-29;Sábado;02:45:00;SP;116;224.9;GUARULHOS;Falta de atenção;Colisão com objeto fixo;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Múltipla;Reta;Urbano;1;1
1000260;2011-10-25;Terça;16:40:00;SP;116;148.3;SAO JOSE DOS CAMPOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Rural;3;3
1000268;2011-10-25;Terça;17:20:00;SP;116;224.0;GUARULHOS;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Urbano;2;2
1000291;2011-10-25;Terça;19:30:00;SP;116;216.7;GUARULHOS;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Anoitecer;Decrescente;Nublado;Múltipla;Reta;Urbano;2;1
1000351;2011-10-27;Quinta;07:00:00;SP;116;219.0;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Urbano;2;2
1000366;2011-10-27;Quinta;07:50:00;SP;116;224.0;SAO PAULO;Outras;Colisão traseira;Sem Vítimas;Amanhecer;Crescente;Sol;Dupla;Reta;Urbano;2;2
1000428;2011-10-20;Quinta;22:20:00;SP;116;220.0;GUARULHOS;Falta de atenção;Colisão lateral;Com Vítimas Feridas;Plena noite;Crescente;Ceu Claro;Múltipla;Reta;Urbano;3;3
1000498;2011-10-29;Sábado;20:30:00;SP;116;228.0;SAO PAULO;Falta de atenção;Colisão lateral;Sem Vítimas;Plena noite;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1000502;2011-10-26;Quarta;17:40:00;SP;116;163.1;JACAREI;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;1;1
1000763;2011-10-23;Domingo;04:45:00;SP;116;114.3;TAUBATE;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Amanhecer;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2;1
1000764;2011-10-28;Sexta;13:25:00;SP;116;169.0;JACAREI;Outras;Atropelamento de pessoa;Com Vítimas Fatais;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Rural;2;1
1000887;2011-10-23;Domingo;20:25:00;SP;116;168.0;JACAREI;Ingestão de álcool;Atropelamento de pessoa;Com Vítimas Feridas;Plena noite;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2;1
1001016;2011-10-29;Sábado;04:17:00;SP;116;149.5;SAO JOSE DOS CAMPOS;Outras;Capotamento;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Urbano;1;1
1001053;2011-10-30;Domingo;21:00:00;SP;116;204.5;ARUJA;Outras;Colisão traseira;Com Vítimas Feridas;Plena noite;Decrescente;Nublado;Dupla;Reta;Rural;3;2
1001054;2011-10-29;Sábado;12:20:00;SP;116;155.8;SAO JOSE DOS CAMPOS;Falta de atenção;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
1001064;2011-10-29;Sábado;05:55:00;SP;116;155.8;SAO JOSE DOS CAMPOS;Outras;Capotamento;Sem Vítimas;Amanhecer;Decrescente;Ceu Claro;Dupla;Reta;Urbano;1;1
1001069;2011-10-27;Quinta;19:15:00;SP;116;217.0;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1001085;2011-10-28;Sexta;07:00:00;SP;116;158.0;SAO JOSE DOS CAMPOS;Outras;Derramamento de Carga;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;1;1
1001089;2011-10-28;Sexta;06:45:00;SP;116;217.0;GUARULHOS;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1001091;2011-10-28;Sexta;22:50:00;SP;116;147.4;SAO JOSE DOS CAMPOS;Outras;Colisão traseira;Sem Vítimas;Plena noite;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2;2
1001094;2011-10-31;Segunda;15:15:00;SP;116;115.0;TAUBATE;Dormindo;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Urbano;2;2
1001103;2011-10-31;Segunda;15:30:00;SP;116;229.0;SAO PAULO;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Urbano;2;2
1001156;2011-10-28;Sexta;23:10:00;SP;116;228.0;SAO PAULO;Falta de atenção;Colisão traseira;Sem Vítimas;Plena noite;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1001191;2011-10-31;Segunda;18:20:00;SP;116;155.0;SAO JOSE DOS CAMPOS;Outras;Colisão com objeto fixo;Sem Vítimas;Anoitecer;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
1001222;2011-10-29;Sábado;12:20:00;SP;116;216.9;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;5;5
1001235;2011-10-21;Sexta;00:30:00;SP;116;224.0;GUARULHOS;Ingestão de álcool;Colisão com objeto fixo;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1001249;2011-10-31;Segunda;18:20:00;SP;116;204.0;ARUJA;Falta de atenção;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Chuva;Simples;Reta;Urbano;3;3
1001264;2011-10-28;Sexta;07:10:00;SP;116;223.2;GUARULHOS;Desobediência à sinalização;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1001290;2011-10-31;Segunda;17:10:00;SP;116;155.0;SAO JOSE DOS CAMPOS;Outras;Colisão lateral;Sem Vítimas;Anoitecer;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
1001307;2011-10-28;Sexta;17:05:00;SP;116;139.2;SAO JOSE DOS CAMPOS;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Urbano;3;3
