id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
261119;2020-01-06;segunda-feira;05:35:00;SP;116;182.0;GUARAREMA;Condutor Dormindo;Engavetamento;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Múltipla;Reta;Não;4;4
261178;2020-01-06;segunda-feira;12:10:00;SP;116;103.0;PINDAMONHANGABA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;5;4
261887;2020-01-10;sexta-feira;09:50:00;SP;116;229.0;SAO PAULO;Não guardar distância de segurança;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;7;6
262547;2020-01-13;segunda-feira;09:45:00;SP;116;221.0;GUARULHOS;Não guardar distância de segurança;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;5;4
262563;2020-01-13;segunda-feira;11:00:00;SP;116;219.0;GUARULHOS;Velocidade Incompatível;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;5;5
262627;2020-01-13;segunda-feira;15:08:00;SP;116;162.1;JACAREI;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Curva;Sim;1;1
263042;2020-01-16;quinta-feira;00:25:00;SP;116;112.7;TAUBATE;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;8;3
263064;2020-01-16;quinta-feira;03:26:00;SP;116;210.0;GUARULHOS;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;2
263114;2020-01-16;quinta-feira;09:00:00;SP;116;144.4;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Sim;3;3
263276;2020-01-16;quinta-feira;22:20:00;SP;116;193.6;SANTA ISABEL;Avarias e/ou desgaste excessivo no pneu;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Chuva;Dupla;Reta;Não;2;2
