id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
100585;2018-01-03;quarta-feira;10:00:00;SP;116;228.0;SAO PAULO;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;2;2
100773;2018-01-04;quinta-feira;03:45:00;SP;116;134.0;SAO JOSE DOS CAMPOS;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;2;2
101177;2018-01-05;sexta-feira;15:30:00;SP;116;132.5;CACAPAVA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;2
101441;2018-01-06;sábado;13:40:00;SP;116;224.0;GUARULHOS;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Não;3;2
101536;2018-01-06;sábado;17:00:00;SP;116;205.0;ARUJA;Pista Escorregadia;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Múltipla;Reta;Não;56;2
101917;2018-01-08;segunda-feira;08:00:00;SP;116;139.0;SAO JOSE DOS CAMPOS;Defeito Mecânico no Veículo;Derramamento de carga;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Não;1;1
102115;2018-01-08;segunda-feira;22:30:00;SP;116;177.0;GUARAREMA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Reta;Não;2;2
102683;2018-01-11;quinta-feira;15:25:00;SP;116;182.0;SANTA ISABEL;Defeito Mecânico no Veículo;Colisão com objeto estático;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Não;1;1
102777;2018-01-12;sexta-feira;00:00:00;SP;116;211.0;GUARULHOS;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Múltipla;Desvio Temporário;Sim;2;2
102830;2018-01-12;sexta-feira;08:11:00;SP;116;204.0;ARUJA;Defeito Mecânico no Veículo;Colisão com objeto estático;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;2;1
102908;2018-01-12;sexta-feira;14:45:00;SP;116;140.0;SAO JOSE DOS CAMPOS;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Dupla;Reta;Não;6;6
103361;2018-01-14;domingo;00:35:00;SP;116;218.5;GUARULHOS;Ultrapassagem Indevida;Colisão lateral;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Simples;Curva;Sim;3;2
103505;2018-01-14;domingo;16:00:00;SP;116;162.0;JACAREI;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Viaduto;Sim;1;1
103830;2018-01-15;segunda-feira;21:28:00;SP;116;208.8;GUARULHOS;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Dupla;Reta;Sim;2;1
104019;2018-01-16;terça-feira;20:30:00;SP;116;200.8;ARUJA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;2;1
104068;2018-01-17;quarta-feira;05:30:00;SP;116;150.3;SAO JOSE DOS CAMPOS;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;2;2
104146;2018-01-17;quarta-feira;16:15:00;SP;116;134.8;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Não;2;2
