id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
83304501;2015-01-16;Sexta;09:40:00;SP;116;156.0;SAO JOSE DOS CAMPOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2;2
83304534;2015-01-15;Quinta;06:00:00;SP;116;222.7;GUARULHOS;Falta de atenção;Colisão traseira;Sem Vítimas;Amanhecer;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83304863;2015-01-14;Quarta;13:50:00;SP;116;215.0;GUARULHOS;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Múltipla;Reta;Urbano;2;2
83304866;2015-01-17;Sábado;11:45:00;SP;116;211.0;GUARULHOS;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Urbano;2;2
83304930;2015-01-17;Sábado;08:25:00;SP;116;102.0;TAUBATE;Animais na Pista;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;2;2
83304963;2015-01-17;Sábado;17:30:00;SP;116;146.0;SAO JOSE DOS CAMPOS;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83305046;2015-01-17;Sábado;21:00:00;SP;116;202.0;ARUJA;Velocidade incompatível;Colisão traseira;Com Vítimas Feridas;Plena noite;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83305067;2015-01-17;Sábado;21:15:00;SP;116;220.0;GUARULHOS;Falta de atenção;Capotamento;Com Vítimas Feridas;Plena noite;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;1;1
83305145;2015-01-18;Domingo;07:05:00;SP;116;126.9;CACAPAVA;Falta de atenção;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2;2
83305148;2015-01-18;Domingo;03:45:00;SP;116;163.0;JACAREI;Outras;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
83305194;2015-01-14;Quarta;23:00:00;SP;116;110.2;TAUBATE;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
83305208;2015-01-16;Sexta;08:40:00;SP;116;217.0;GUARULHOS;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Cruzamento;Urbano;2;2
83305259;2015-01-18;Domingo;12:50:00;SP;116;115.0;TAUBATE;Falta de atenção;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
83305280;2015-01-14;Quarta;12:30:00;SP;116;224.0;GUARULHOS;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Urbano;2;2
83305289;2015-01-18;Domingo;11:40:00;SP;116;102.7;PINDAMONHANGABA;Falta de atenção;Saída de Pista;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;1;1
83305417;2015-01-18;Domingo;21:10:00;SP;116;207.9;GUARULHOS;Não guardar distância de segurança;Colisão lateral;Com Vítimas Feridas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
83305741;2015-01-19;Segunda;09:45:00;SP;116;222.0;GUARULHOS;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;1
83305781;2015-01-19;Segunda;11:20:00;SP;116;123.0;CACAPAVA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;3;3
83305825;2015-01-19;Segunda;14:05:00;SP;116;227.9;SAO PAULO;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Urbano;2;2
83305829;2015-01-15;Quinta;10:00:00;SP;116;209.9;GUARULHOS;Outras;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Múltipla;Reta;Urbano;2;2
83305831;2015-01-11;Domingo;11:30:00;SP;116;220.0;GUARULHOS;Outras;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Urbano;1;1
83305997;2015-01-09;Sexta;17:30:00;SP;116;160.0;JACAREI;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Simples;Reta;Urbano;2;2
83306031;2015-01-12;Segunda;15:40:00;SP;116;210.0;GUARULHOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;Reta;Urbano;2;2
83306036;2015-01-16;Sexta;16:45:00;SP;116;106.0;TAUBATE;Outras;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Sol;Múltipla;Reta;Urbano;2;2
83306071;2015-01-16;Sexta;15:30:00;SP;116;112.6;TAUBATE;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;5;5
83306085;2015-01-16;Sexta;15:45:00;SP;116;105.0;TAUBATE;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
83306091;2015-01-06;Terça;09:30:00;SP;116;165.0;JACAREI;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Rural;2;2
