id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
83425930;2016-01-01;Sexta;07:15:00;SP;116;226.8;GUARULHOS;Defeito mecânico em veículo;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Urbano;2;2
83426053;2016-01-01;Sexta;17:55:00;SP;116;202.2;ARUJA;Falta de atenção;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Urbano;3;2
83426146;2016-01-02;Sábado;06:15:00;SP;116;222.0;GUARULHOS;Outras;Capotamento;Com Vítimas Feridas;Amanhecer;Crescente;Chuva;Múltipla;Reta;Urbano;1;1
83426197;2016-01-01;Sexta;00:10:00;SP;116;212.0;GUARULHOS;Ingestão de álcool;Colisão frontal;Com Vítimas Fatais;Plena noite;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83426330;2016-01-02;Sábado;16:00:00;SP;116;105.2;TAUBATE;Outras;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;2;2
83426356;2016-01-02;Sábado;08:15:00;SP;116;192.0;SANTA ISABEL;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Rural;7;2
83426435;2016-01-02;Sábado;19:30:00;SP;116;140.0;SAO JOSE DOS CAMPOS;Velocidade incompatível;Capotamento;Sem Vítimas;Anoitecer;Decrescente;Chuva;Dupla;Reta;Urbano;1;1
83426876;2016-01-02;Sábado;21:44:00;SP;116;110.6;TAUBATE;Falta de atenção;Colisão traseira;Com Vítimas Feridas;Plena noite;Crescente;Nublado;Dupla;Reta;Urbano;7;4
83427167;2016-01-01;Sexta;23:30:00;SP;116;212.0;GUARULHOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Plena noite;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83427195;2016-01-05;Terça;08:05:00;SP;116;216.0;GUARULHOS;Falta de atenção;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83427198;2016-01-01;Sexta;19:00:00;SP;116;212.0;GUARULHOS;Outras;Colisão com objeto fixo;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Múltipla;Reta;Urbano;3;3
