datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-09-05,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0,19003.0
2023-09-06,18649.96,18649.455,18649.363,18652.709,18647.09,18649.979,18660.541,18649.893,18650.35,18649.443,18647.729,18650.615,18648.756,18652.006,18647.111,18645.783,18667.232,18654.709,18654.746,18650.637,18650.848,18647.457,18649.89,18657.752,18649.443,18647.318,18647.664,18646.418,18685.656,18655.049,18654.213,18650.262,18649.514,18649.742,18647.186,18660.172,18658.129,18664.184,18649.299,18661.965,18652.367,18669.324,18681.234,18646.193,18647.766,18648.256,18646.88,18663.703,18649.902,18657.275,18663.139
2023-09-07,18339.322,18341.795,18332.979,18344.715,18319.826,18334.205,18382.684,18338.83,18342.902,18329.836,18330.604,18337.434,18332.787,18345.994,18350.477,18318.09,18372.977,18355.729,18342.11,18335.693,18338.484,18321.559,18338.018,18365.459,18330.613,18321.771,18322.842,18316.941,18442.031,18350.645,18343.25,18333.877,18331.922,18336.768,18322.443,18372.506,18363.066,18375.752,18332.49,18369.178,18345.703,18390.213,18400.053,18317.863,18327.871,18330.867,18326.568,18373.77,18340.602,18374.748,18378.56
2023-09-08,18071.879,18073.812,18056.13,18073.008,18027.1,18051.816,18143.262,18076.615,18082.041,18049.945,18056.273,18065.195,18059.654,18080.77,18068.496,18024.133,18120.605,18096.691,18062.016,18058.883,18059.092,18024.193,18068.236,18111.11,18044.902,18076.223,18031.732,18017.277,18225.861,18093.977,18064.729,18049.506,18051.543,18067.623,18035.61,18129.084,18109.684,18132.502,18062.504,18125.885,18080.492,18146.812,18141.873,18025.535,18047.209,18064.078,18047.324,18109.756,18076.893,18151.938,18152.037
2023-09-09,17850.46,17844.871,17826.758,17842.04,17769.918,17806.773,17940.252,17850.676,17861.717,17819.904,17825.186,17844.238,17826.527,17853.836,17823.348,17782.041,17903.793,17880.42,17820.54,17831.164,17821.889,17765.35,17836.334,17890.703,17793.754,17836.453,17780.346,17759.812,18025.389,17886.236,17822.107,17800.146,17813.404,17842.86,17794.164,17919.916,17889.81,17942.295,17838.19,17925.018,17857.584,17938.744,17912.742,17774.92,17816.844,17854.244,17809.818,17874.34,17861.254,17965.543,17968.455
2023-09-10,17680.516,17670.344,17671.656,17663.723,17570.79,17606.217,17786.39,17687.033,17684.01,17672.586,17646.96,17706.441,17631.549,17670.23,17639.094,17614.082,17724.496,17704.668,17639.043,17664.23,17644.705,17557.135,17659.166,17709.074,17585.455,17656.73,17601.654,17551.846,17862.49,17744.51,17617.893,17599.812,17619.479,17694.97,17615.682,17740.375,17716.125,17833.941,17675.133,17748.33,17678.396,17768.777,17712.188,17591.707,17651.746,17720.846,17628.002,17680.613,17706.607,17809.344,17847.447
2023-09-11,17577.463,17576.984,17594.277,17554.646,17444.203,17471.46,17717.662,17591.984,17566.531,17628.068,17541.39,17676.295,17491.314,17541.201,17534.143,17551.898,17618.703,17589.104,17507.133,17571.057,17579.02,17415.521,17556.654,17600.12,17459.342,17546.197,17495.66,17415.371,17784.613,17681.494,17470.004,17469.68,17482.703,17639.303,17510.969,17620.723,17602.615,17817.363,17592.703,17610.63,17570.008,17670.482,17576.832,17477.105,17560.88,17678.547,17512.166,17558.459,17636.5,17733.152,17816.672
2023-09-12,17591.664,17585.436,17621.623,17595.135,17412.795,17424.049,17774.035,17619.293,17552.504,17703.33,17532.178,17807.195,17449.508,17552.193,17549.12,17677.422,17631.5,17590.908,17469.912,17564.04,17650.645,17380.67,17552.266,17601.68,17512.104,17572.355,17511.264,17387.611,17820.463,17776.498,17421.887,17442.322,17436.385,17740.867,17559.18,17608.236,17602.535,17894.85,17636.904,17569.043,17576.74,17687.584,17582.982,17446.338,17617.059,17797.271,17499.242,17551.615,17697.588,17773.021,17913.531
2023-09-13,17765.496,17756.11,17773.559,17807.422,17542.967,17496.205,18013.727,17803.252,17718.986,17933.883,17646.049,18212.643,17547.756,17754.932,17717.89,18139.969,17819.2,17786.379,17565.408,17692.277,17907.291,17492.578,17698.047,17761.682,17814.916,17803.871,17719.902,17551.545,18013.844,18122.72,17559.326,17560.947,17522.018,18047.947,17816.332,17720.594,17757.176,18120.041,17926.984,17717.816,17750.887,17859.97,17868.088,17549.979,17963.395,18188.936,17628.203,17706.977,17947.062,17982.793,18209.715
2023-09-14,18054.164,18050.812,18007.36,18131.44,17807.076,17691.953,18394.281,18112.945,18020.234,18288.803,17852.646,18855.72,17750.389,18110.305,17975.764,18854.578,18139.162,18158.268,17771.445,17958.318,18300.994,17703.607,17969.203,18045.996,18299.195,18258.227,18109.922,17885.988,18340.453,18673.715,17907.873,17819.488,17729.72,18487.36,18238.088,17920.932,18023.932,18483.172,18483.959,18093.523,18052.69,18158.281,18419.615,17750.95,18579.049,18794.607,17876.926,17997.176,18321.375,18338.64,18672.172
2023-09-15,18295.898,18325.123,18209.182,18412.18,18078.264,17901.283,18716.418,18400.11,18255.584,18629.988,18036.95,19419.51,17936.797,18413.904,18198.861,19350.455,18470.732,18511.422,17959.145,18252.883,18653.05,17867.684,18216.395,18304.963,18675.646,18806.72,18488.543,18199.11,18635.799,19156.234,18281.928,18093.475,17955.607,18865.156,18595.447,18092.47,18247.207,18826.611,19034.188,18533.012,18311.8,18448.635,18863.787,17943.992,19076.947,19266.232,18118.74,18281.07,18643.268,18661.74,19105.69
2023-09-16,18361.508,18438.037,18248.61,18531.787,18250.877,17964.738,18833.68,18507.83,18249.688,18948.475,18092.115,19620.969,17983.299,18498.05,18297.295,19336.22,18580.96,18656.68,17987.322,18444.994,18817.447,17862.594,18287.463,18411.1,18759.457,19184.438,18630.303,18317.48,18744.275,19352.71,18461.43,18232.486,18083.094,18997.168,18661.742,18137.748,18280.734,18948.281,19187.186,18726.5,18370.104,18576.129,18880.023,18002.572,19101.785,19363.094,18203.994,18426.926,18779.871,18793.799,19311.1
2023-09-17,18261.521,18363.506,18100.285,18555.129,18294.541,17828.17,18801.764,18448.264,17998.613,19491.814,17989.123,19487.61,17870.41,18399.957,18249.215,18948.76,18461.613,18573.809,17843.432,18523.352,18805.957,17684.29,18175.602,18341.934,18617.865,19292.742,18516.504,18182.756,18636.582,19323.219,18393.645,18195.291,18107.898,18910.201,18439.49,18034.498,18141.014,18828.795,18928.756,18571.783,18216.14,18457.43,18542.293,17901.953,18721.262,19137.107,18096.812,18402.084,18731.834,18748.518,19285.92
2023-09-18,18090.957,18181.074,17827.955,18601.197,18248.629,17538.812,18715.527,18357.096,17605.793,20439.707,17777.922,19206.762,17691.879,18290.78,18108.7,18421.402,18209.863,18366.469,17599.729,18575.29,18715.86,17390.336,17985.707,18177.006,18396.697,19288.137,18272.021,17882.426,18400.793,19295.062,18175.146,18046.732,18125.1,18734.457,18053.16,17825.658,17993.496,18558.602,18477.486,18170.633,17939.156,18193.086,18080.035,17703.906,18169.932,18749.842,17876.273,18311.639,18587.475,18601.53,19187.648
2023-09-19,17934.35,17969.568,17521.363,18746.363,18149.615,17188.38,18592.111,18348.656,17195.059,21393.566,17535.973,18943.846,17521.375,18267.898,17930.566,17922.676,17969.033,18138.004,17327.406,18636.76,18645.527,17090.996,17784.613,17993.41,18185.232,19416.236,18022.738,17544.307,18138.588,19529.283,17912.52,17843.287,18252.371,18561.3,17620.738,17569.043,17983.133,18242.78,18039.66,17676.379,17638.127,17919.305,17636.045,17492.479,17604.973,18338.424,17665.38,18242.195,18423.807,18461.453,19158.514
