datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-09-04,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586,19390.586
2023-09-05,19004.254,19004.861,19005.543,19003.635,19005.64,19003.707,19014.441,19005.629,19006.451,19004.025,19003.723,19004.252,19004.186,19010.48,19006.932,19003.4,19006.168,19005.172,19005.473,19007.777,19004.014,19006.273,19004.906,19007.22,19006.215,19004.535,19005.758,19004.58,19005.703,19003.57,19005.258,19005.62,19004.104,19004.611,19006.756,19004.178,19004.527,19004.844,19005.781,19004.459,19007.586,19005.428,19004.402,19004.21,19003.61,19004.133,19003.9,19003.547,19004.682,19005.184,19005.729
2023-09-06,18654.18,18657.36,18655.752,18649.314,18653.975,18646.709,18674.82,18658.502,18672.197,18653.154,18647.492,18649.336,18651.842,18673.63,18660.648,18647.758,18674.264,18654.67,18658.271,18662.645,18651.443,18661.012,18669.148,18661.91,18658.875,18662.646,18659.5,18655.002,18662.076,18653.03,18666.484,18661.625,18650.07,18655.457,18674.996,18660.064,18662.016,18656.201,18663.746,18655.564,18667.375,18652.686,18662.432,18650.78,18647.473,18654.574,18668.85,18649.96,18654.459,18663.113,18655.266
2023-09-07,18341.951,18353.377,18341.205,18325.486,18336.225,18319.709,18375.496,18355.014,18385.984,18342.498,18323.742,18320.947,18337.97,18370.367,18359.998,18318.379,18395.322,18335.568,18350.723,18344.28,18331.4,18354.668,18361.557,18365.99,18355.46,18365.135,18353.676,18338.188,18360.357,18343.346,18378.22,18354.418,18343.496,18337.225,18393.617,18361.38,18355.395,18347.533,18378.8,18344.29,18378.225,18326.668,18375.059,18329.158,18332.463,18339.27,18406.586,18332.49,18341.629,18361.29,18336.012
2023-09-08,18065.701,18102.693,18074.275,18030.305,18052.812,18022.234,18134.842,18098.07,18135.445,18078.215,18035.273,18020.373,18069.594,18103.188,18099.947,18014.19,18161.984,18049.848,18078.354,18055.943,18040.117,18089.828,18073.32,18119.51,18096.684,18114.87,18086.553,18059.244,18102.941,18072.754,18155.975,18094.977,18077.328,18052.033,18178.178,18112.168,18072.678,18081.97,18141.338,18075.652,18139.25,18022.525,18136.082,18049.191,18041.379,18061.293,18169.195,18050.834,18056.873,18099.97,18052.555
2023-09-09,17836.21,17904.469,17856.531,17785.158,17813.072,17764.145,17990.445,17891.893,17924.166,17866.432,17801.562,17771.873,17865.338,17902.518,17882.465,17755.604,17975.047,17818.775,17849.87,17806.725,17789.637,17876.22,17818.613,17915.451,17882.936,17918.209,17862.293,17832.625,17881.53,17850.904,17983.332,17896.178,17876.148,17809.904,18049.088,17899.127,17829.41,17880.79,17950.045,17854.127,17942.236,17757.336,17941.45,17826.727,17799.639,17838.053,17951.803,17815.295,17823.709,17889.697,17825.58
2023-09-10,17659.475,17760.643,17711.309,17614.727,17632.39,17578.34,17922.357,17745.984,17747.582,17708.582,17640.05,17596.014,17751.889,17807.443,17718.795,17559.75,17839.598,17664.459,17673.092,17627.963,17602.537,17723.12,17603.633,17777.53,17722.492,17778.785,17681.258,17674.83,17693.883,17700.299,17849.068,17753.486,17758.693,17621.016,17992.973,17724.957,17634.607,17754.16,17804.537,17680.098,17793.822,17550.879,17783.156,17666.342,17659.645,17677.08,17776.611,17655.494,17665.75,17747.559,17665.45
2023-09-11,17542.469,17706.748,17638.379,17550.832,17532.703,17497.229,17855.7,17664.41,17593.172,17607.482,17641.604,17500.479,17742.266,17838.635,17611.525,17458.346,17742.133,17602.11,17570.09,17508.873,17462.748,17638.73,17414.504,17673.531,17612.773,17722.682,17526.04,17605.768,17547.65,17678.385,17749.928,17641.332,17754.846,17530.348,17998.0,17619.527,17488.787,17700.879,17722.732,17576.111,17709.098,17414.904,17675.213,17564.195,17621.988,17589.934,17681.059,17582.066,17596.225,17694.834,17592.95
2023-09-12,17520.98,17802.676,17668.676,17673.705,17545.006,17600.15,17785.908,17638.26,17492.484,17602.463,17947.068,17519.719,17890.705,18018.184,17589.299,17448.316,17731.305,17681.906,17557.377,17515.664,17349.367,17653.0,17261.184,17628.064,17554.533,17765.344,17432.654,17665.957,17473.059,17844.234,17729.629,17548.99,18017.525,17617.97,18098.734,17628.834,17408.791,17768.559,17733.346,17540.465,17696.93,17420.04,17680.338,17505.797,17718.668,17622.76,17722.027,17655.914,17626.344,17767.797,17688.95
2023-09-13,17645.822,18074.512,17838.605,17995.445,17700.611,17957.992,17842.172,17689.71,17549.107,17736.49,18658.951,17686.498,18236.82,18330.322,17732.379,17525.402,17894.598,17952.3,17675.059,17690.904,17260.871,17811.406,17191.182,17667.451,17567.646,17942.533,17417.59,17917.5,17504.143,18341.42,17822.805,17542.738,18582.328,17901.648,18394.209,17814.662,17439.578,18032.877,17895.79,17619.174,17784.51,17656.957,17838.1,17491.268,17954.49,17801.297,17926.402,17917.713,17814.25,18022.598,18025.098
