datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-08-27,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6,22019.6
2023-08-28,21636.521,21633.81,21630.584,21630.453,21633.223,21638.166,21630.932,21634.588,21632.83,21634.379,21633.553,21635.572,21639.572,21637.666,21629.19,21632.5,21635.084,21629.143,21632.69,21629.525,21633.746,21630.7,21629.836,21631.068,21637.459,21633.354,21639.342,21637.592,21631.373,21638.348,21639.916,21639.053,21632.506,21632.055,21637.283,21636.469,21633.8,21630.045,21636.643,21636.818,21638.162,21638.484,21632.594,21632.678,21635.223,21633.863,21631.748,21633.17,21631.455,21630.63,21634.123
2023-08-29,21321.36,21323.18,21312.242,21308.852,21329.836,21326.053,21310.69,21320.076,21321.049,21338.383,21327.28,21328.049,21335.234,21332.223,21311.18,21308.86,21328.012,21319.693,21328.736,21309.373,21327.635,21310.062,21309.822,21314.469,21329.07,21320.225,21334.844,21327.49,21321.348,21326.244,21343.57,21336.107,21317.713,21315.826,21328.805,21332.148,21316.11,21310.416,21332.158,21331.432,21343.691,21334.412,21328.12,21316.053,21327.28,21317.83,21322.338,21321.305,21311.922,21309.602,21321.191
2023-08-30,21085.438,21100.322,21083.629,21061.225,21125.852,21097.146,21066.662,21093.76,21095.848,21133.12,21114.85,21100.527,21117.385,21123.453,21072.506,21048.809,21105.559,21101.402,21125.541,21064.746,21120.936,21065.648,21066.293,21079.656,21095.113,21087.654,21111.447,21093.258,21096.145,21095.47,21145.002,21111.443,21087.482,21082.299,21093.992,21111.377,21072.965,21070.725,21114.078,21096.74,21137.21,21108.652,21121.428,21087.291,21096.54,21075.936,21102.385,21087.646,21068.402,21062.82,21094.418
2023-08-31,20867.219,20910.928,20897.098,20822.111,20961.527,20892.775,20855.81,20884.52,20896.615,20936.256,20930.326,20879.438,20916.498,20950.055,20859.262,20793.105,20902.463,20910.395,20955.336,20836.795,20936.752,20832.75,20833.709,20863.496,20869.969,20872.395,20912.72,20879.332,20892.46,20893.797,20967.545,20900.363,20884.105,20871.072,20864.262,20912.928,20838.326,20844.94,20933.781,20872.115,20940.59,20898.107,20938.22,20887.312,20891.275,20847.621,20906.938,20863.201,20856.936,20832.045,20891.305
2023-09-01,20597.79,20678.06,20670.547,20513.072,20767.104,20646.303,20580.92,20624.9,20655.623,20667.807,20693.148,20593.436,20653.467,20736.416,20583.57,20461.623,20642.717,20658.623,20774.564,20559.465,20716.297,20531.656,20536.03,20582.31,20577.7,20595.61,20672.654,20600.383,20625.73,20644.307,20744.74,20627.37,20628.695,20593.328,20560.41,20665.158,20536.533,20570.037,20711.217,20581.06,20676.396,20625.676,20698.24,20633.121,20618.453,20554.178,20665.043,20561.65,20597.498,20556.562,20639.582
2023-09-02,20278.92,20373.95,20384.305,20124.309,20515.475,20348.33,20214.576,20308.53,20353.877,20316.215,20391.61,20250.988,20313.691,20459.95,20220.715,20038.484,20307.59,20310.795,20581.012,20218.076,20451.922,20156.61,20164.322,20225.643,20209.508,20230.174,20378.873,20252.006,20282.29,20327.31,20505.264,20274.238,20292.049,20233.96,20171.02,20352.53,20153.365,20250.021,20412.3,20208.59,20339.18,20288.102,20403.154,20310.27,20268.59,20178.713,20373.27,20172.43,20264.666,20216.762,20343.398
2023-09-03,19917.092,20022.383,20075.838,19682.275,20212.842,20008.672,19799.676,19964.896,20026.584,19924.275,20040.393,19886.203,19920.191,20130.254,19805.176,19575.623,19912.328,19908.682,20367.238,19850.018,20144.754,19754.46,19757.658,19821.326,19800.842,19823.879,20061.537,19864.316,19887.928,19967.053,20280.135,19869.473,19886.639,19840.525,19738.182,19987.506,19716.533,19909.062,20043.828,19782.246,19956.207,19900.766,20081.654,19946.01,19874.299,19759.1,20052.842,19725.768,19888.389,19838.564,20038.373
2023-09-04,19535.877,19658.184,19807.688,19234.498,19880.086,19650.834,19372.834,19607.578,19688.043,19527.672,19664.2,19529.314,19509.828,19755.914,19362.12,19128.58,19499.297,19493.514,20104.654,19533.553,19790.748,19375.61,19343.783,19430.225,19387.893,19421.717,19743.707,19480.375,19487.414,19591.326,20054.674,19455.154,19452.477,19454.857,19318.377,19613.186,19278.514,19607.986,19647.422,19340.709,19561.74,19486.322,19761.889,19569.953,19474.541,19336.28,19779.312,19281.07,19510.91,19455.184,19736.145
2023-09-05,19155.932,19308.545,19574.492,18826.588,19555.975,19310.455,18965.504,19242.533,19343.164,19140.838,19278.023,19213.564,19118.387,19357.87,18916.355,18714.15,19110.287,19091.377,19814.012,19359.088,19420.06,19041.195,18942.904,19054.434,19013.97,19032.488,19452.395,19123.723,19099.268,19226.277,19836.81,19071.691,19020.676,19091.463,18948.652,19268.883,18858.719,19455.996,19264.156,18925.19,19196.67,19076.977,19458.29,19211.576,19113.465,18942.695,19600.693,18867.71,19160.371,19077.887,19449.355
