datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-08-18,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037,21953.192200924037
2023-08-19,21877.8515625,21877.513671875,21877.921875,21877.953125,21878.732421875,21877.935546875,21878.29296875,21879.943359375,21878.384765625,21877.7109375,21877.212890625,21877.73046875,21878.17578125,21879.591796875,21877.662109375,21877.767578125,21877.41796875,21877.5,21878.515625,21877.951171875,21877.458984375,21877.962890625,21877.828125,21878.357421875,21877.6328125,21878.111328125,21877.791015625,21878.23828125,21877.595703125,21877.548828125,21878.12890625,21878.41796875,21877.8828125,21878.552734375,21877.9921875,21877.951171875,21877.68359375,21877.6484375,21878.392578125,21877.37109375,21877.958984375,21878.353515625,21877.953125,21877.494140625,21877.76953125,21878.0,21878.00390625,21878.1015625,21878.546875,21877.783203125,21878.373046875
2023-08-20,21945.357421875,21944.197265625,21945.990234375,21945.404296875,21949.275390625,21945.501953125,21947.6328125,21947.94140625,21946.626953125,21948.43359375,21957.248046875,21945.033203125,21946.51171875,21949.9921875,21945.583984375,21945.697265625,21945.87109375,21945.3203125,21947.1015625,21948.326171875,21944.861328125,21946.349609375,21945.203125,21948.021484375,21945.380859375,21946.341796875,21946.0,21946.232421875,21945.16796875,21944.28125,21946.291015625,21945.591796875,21947.017578125,21947.15234375,21945.509765625,21945.802734375,21944.923828125,21945.65625,21956.681640625,21944.619140625,21946.275390625,21951.642578125,21949.486328125,21944.76953125,21945.56640625,21946.490234375,21946.123046875,21946.171875,21947.470703125,21947.751953125,21948.0234375
2023-08-21,22159.52734375,22153.875,22157.6171875,22156.193359375,22167.828125,22156.744140625,22164.6875,22162.068359375,22163.390625,22171.369140625,22185.84375,22159.845703125,22158.572265625,22165.5859375,22158.6796875,22157.548828125,22161.794921875,22160.087890625,22161.720703125,22162.6484375,22157.693359375,22158.8828125,22156.84765625,22167.81640625,22157.212890625,22157.70703125,22160.0859375,22159.76953125,22156.208984375,22153.93359375,22160.779296875,22155.90625,22164.9609375,22167.353515625,22156.32421875,22157.34375,22158.638671875,22162.900390625,22189.689453125,22154.634765625,22158.84375,22175.4296875,22171.923828125,22160.1484375,22157.189453125,22163.900390625,22157.40625,22165.509765625,22164.88671875,22166.4296875,22168.763671875
2023-08-22,22500.341796875,22485.078125,22496.052734375,22488.55078125,22526.34765625,22493.884765625,22512.623046875,22508.94921875,22506.408203125,22524.373046875,22547.396484375,22512.1953125,22495.673828125,22506.91015625,22497.5234375,22504.4140625,22521.97265625,22500.98046875,22507.98046875,22509.14453125,22497.599609375,22495.21875,22488.94921875,22524.74609375,22493.767578125,22496.90625,22504.779296875,22498.1484375,22490.78125,22486.220703125,22505.68359375,22498.9453125,22517.27734375,22519.6953125,22489.349609375,22497.087890625,22498.203125,22510.53515625,22560.59375,22490.080078125,22508.43359375,22534.1171875,22524.365234375,22500.783203125,22493.974609375,22513.783203125,22490.58203125,22517.404296875,22515.53515625,22510.927734375,22523.6875
2023-08-23,22802.833984375,22779.7421875,22795.779296875,22774.517578125,22859.2890625,22798.650390625,22822.01171875,22820.2734375,22812.22265625,22845.92578125,22890.8671875,22843.52734375,22792.736328125,22806.359375,22806.673828125,22828.783203125,22857.96875,22798.107421875,22825.884765625,22816.013671875,22806.85546875,22796.03125,22773.603515625,22859.224609375,22785.357421875,22800.841796875,22816.96875,22791.865234375,22788.330078125,22771.712890625,22823.986328125,22801.623046875,22825.525390625,22847.498046875,22775.578125,22801.19921875,22802.69921875,22821.4296875,22905.154296875,22784.2265625,22845.650390625,22865.78125,22842.3203125,22811.70703125,22794.322265625,22828.62109375,22777.177734375,22840.51171875,22833.34765625,22822.15234375,22843.794921875
2023-08-24,22882.220703125,22841.583984375,22873.189453125,22834.875,22979.220703125,22883.13671875,22906.03515625,22911.140625,22900.111328125,22964.169921875,23021.3671875,22970.150390625,22872.130859375,22882.6171875,22885.955078125,22949.076171875,22980.056640625,22865.921875,22932.705078125,22901.302734375,22897.638671875,22883.517578125,22831.19140625,22980.734375,22854.76171875,22892.669921875,22912.15625,22847.908203125,22869.158203125,22830.326171875,22930.40234375,22880.177734375,22910.658203125,22962.033203125,22834.4375,22892.88671875,22886.68359375,22919.478515625,23031.734375,22854.00390625,22977.1875,22981.009765625,22956.28515625,22920.599609375,22875.0,22922.060546875,22833.015625,22939.259765625,22951.2265625,22905.734375,22947.44921875
2023-08-25,22687.5703125,22637.408203125,22674.162109375,22621.294921875,22846.41015625,22702.689453125,22717.251953125,22726.291015625,22728.455078125,22831.625,22895.04296875,22834.65625,22682.494140625,22685.861328125,22696.162109375,22807.626953125,22844.904296875,22650.580078125,22781.458984375,22732.041015625,22718.3046875,22698.666015625,22608.5625,22848.93359375,22647.318359375,22725.736328125,22734.40234375,22612.669921875,22682.890625,22611.8671875,22778.5625,22689.037109375,22725.462890625,22816.841796875,22620.412109375,22720.337890625,22699.587890625,22759.41796875,22891.2734375,22649.875,22842.6953125,22822.90625,22823.15234375,22770.20703125,22683.2890625,22754.341796875,22606.890625,22753.486328125,22816.388671875,22719.94140625,22798.287109375
2023-08-26,22282.20703125,22223.630859375,22255.529296875,22194.166015625,22526.18359375,22304.84765625,22318.662109375,22311.361328125,22362.89453125,22509.09765625,22554.765625,22493.84375,22286.080078125,22272.451171875,22298.37109375,22458.603515625,22532.705078125,22213.3828125,22426.220703125,22369.857421875,22330.375,22302.560546875,22165.75,22527.798828125,22221.2421875,22352.4375,22343.923828125,22150.3671875,22280.681640625,22174.5546875,22422.12890625,22283.12109375,22328.6328125,22470.982421875,22181.556640625,22329.62109375,22313.845703125,22405.666015625,22543.470703125,22221.212890625,22507.09375,22461.54296875,22493.10546875,22426.6953125,22286.3203125,22400.9921875,22157.9921875,22345.2578125,22459.810546875,22319.630859375,22458.650390625
2023-08-27,21770.142578125,21712.005859375,21731.255859375,21657.572265625,22132.6171875,21783.01953125,21825.296875,21768.287109375,21932.7265625,22108.427734375,22104.470703125,22069.767578125,21787.861328125,21747.142578125,21787.416015625,22007.81640625,22172.14453125,21662.908203125,21977.876953125,21896.400390625,21847.1796875,21807.248046875,21619.162109375,22120.279296875,21677.685546875,21874.8203125,21876.75390625,21579.240234375,21770.3984375,21634.263671875,21972.052734375,21785.146484375,21826.767578125,22035.798828125,21627.572265625,21819.84765625,21857.396484375,21974.87890625,22110.259765625,21685.130859375,22092.3671875,22018.748046875,22082.5859375,21984.830078125,21789.66015625,21980.35546875,21594.791015625,21825.7265625,21972.818359375,21811.40625,22042.15234375
