datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-08-28,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81,21633.81
2023-08-29,21317.166,21317.873,21323.855,21316.979,21319.375,21317.826,21319.916,21319.418,21321.105,21323.016,21318.357,21316.688,21317.502,21317.781,21319.531,21318.172,21319.455,21317.357,21318.209,21317.002,21316.479,21319.809,21318.283,21316.602,21320.828,21318.898,21330.35,21318.182,21316.611,21318.764,21318.088,21319.176,21316.973,21317.643,21316.91,21317.674,21321.014,21320.67,21318.518,21326.016,21316.283,21319.494,21317.129,21316.422,21334.19,21317.928,21316.871,21317.006,21318.209,21316.725,21316.945
2023-08-30,21086.703,21083.975,21092.629,21077.592,21087.377,21090.121,21089.924,21092.867,21089.46,21099.5,21084.637,21077.314,21092.898,21087.283,21091.365,21082.512,21096.172,21082.406,21084.412,21088.926,21082.64,21095.014,21083.672,21080.648,21085.959,21094.549,21114.342,21088.387,21088.434,21082.418,21087.682,21083.373,21075.562,21091.285,21075.748,21093.86,21097.945,21099.695,21087.121,21108.357,21077.756,21093.066,21091.49,21073.271,21126.76,21107.26,21081.66,21080.418,21086.482,21075.203,21078.367
2023-08-31,20874.982,20874.607,20888.793,20857.951,20873.703,20880.201,20878.008,20902.215,20880.62,20907.863,20876.768,20855.457,20896.523,20890.361,20891.244,20867.27,20906.107,20870.043,20871.035,20879.248,20862.02,20898.133,20868.156,20868.81,20889.174,20899.043,20929.816,20880.338,20883.004,20879.947,20890.38,20864.572,20857.424,20892.209,20857.516,20900.037,20910.557,20905.566,20884.76,20927.0,20867.85,20891.158,20897.336,20847.719,20940.781,20920.818,20864.016,20864.232,20882.799,20848.307,20853.846
2023-09-01,20615.637,20629.191,20653.258,20590.93,20606.217,20614.834,20615.697,20675.037,20621.236,20660.096,20622.877,20579.195,20658.809,20646.99,20636.383,20612.434,20671.172,20608.533,20609.781,20613.068,20595.559,20647.742,20591.117,20604.23,20677.314,20659.572,20691.406,20628.455,20626.76,20649.549,20650.148,20597.871,20589.094,20641.531,20602.205,20661.613,20671.78,20659.6,20641.203,20705.055,20622.889,20640.24,20663.324,20564.992,20704.213,20689.41,20596.334,20594.773,20636.713,20559.252,20565.533
2023-09-02,20308.812,20345.096,20388.594,20267.64,20290.316,20284.781,20289.133,20389.584,20320.584,20335.947,20326.594,20228.738,20361.057,20328.79,20325.695,20306.473,20369.617,20308.578,20309.453,20295.887,20298.277,20328.727,20247.434,20278.059,20445.887,20388.605,20378.057,20311.332,20321.357,20380.041,20348.346,20308.54,20264.092,20321.121,20328.277,20376.59,20384.75,20346.613,20349.934,20422.541,20334.773,20319.895,20374.492,20216.264,20400.195,20392.94,20304.479,20263.236,20323.559,20200.729,20214.07
2023-09-03,19978.385,20031.666,20112.72,19923.508,19946.055,19930.713,19927.25,20062.648,20009.688,19980.137,20019.535,19828.76,19999.531,19962.371,19987.246,19972.326,20050.344,19990.826,19995.553,19947.941,20000.254,19979.207,19861.977,19912.41,20206.168,20163.385,20023.172,19967.115,19995.678,20088.203,20025.838,20037.586,19955.93,19946.023,20088.217,20065.453,20096.137,20004.865,20046.754,20109.129,20036.164,19947.03,20032.355,19858.629,20059.37,20065.219,19997.195,19940.25,19993.709,19812.62,19840.924
2023-09-04,19657.42,19720.418,19834.74,19615.059,19654.695,19616.037,19563.803,19723.652,19701.572,19636.318,19753.953,19424.916,19639.549,19600.361,19661.197,19672.412,19757.797,19719.02,19683.129,19595.395,19779.846,19647.18,19482.775,19533.885,19949.377,20154.498,19669.879,19656.314,19696.28,19793.389,19725.398,19798.877,19799.465,19563.592,19909.922,19754.729,19815.854,19663.744,19753.951,19784.904,19757.92,19570.041,19695.48,19578.197,19701.951,19764.531,19713.71,19674.951,19740.617,19435.95,19500.275
2023-09-05,19358.61,19436.705,19607.271,19401.498,19495.613,19427.295,19223.71,19392.158,19414.367,19312.664,19568.834,19059.918,19340.178,19271.514,19371.475,19457.355,19478.455,19577.629,19385.31,19285.549,19765.0,19366.086,19136.125,19185.059,19689.498,20500.135,19365.0,19423.021,19494.521,19513.6,19477.137,19582.1,19913.6,19221.662,19809.898,19517.17,19551.035,19328.842,19482.314,19475.361,19478.838,19216.441,19407.104,19492.521,19346.496,19544.955,19476.262,19471.89,19662.5,19112.469,19228.168
2023-09-06,19104.625,19221.912,19457.807,19319.367,19475.885,19362.348,18919.629,19089.174,19173.81,19009.521,19461.25,18787.658,19117.656,19008.404,19133.672,19370.516,19201.418,19563.5,19113.064,19040.965,19927.586,19133.846,18833.297,18897.756,19469.225,21022.545,19148.498,19301.043,19415.535,19276.193,19290.387,19387.6,20217.727,18958.611,19786.062,19371.15,19321.469,19014.6,19249.055,19203.799,19210.773,18888.525,19178.016,19624.988,19006.938,19429.57,19306.057,19333.209,19761.5,18862.549,19086.322
