datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-08-26,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854,22421.854
2023-08-27,22021.625,22020.768,22019.979,22021.229,22023.574,22021.22,22020.846,22026.996,22022.994,22024.03,22022.115,22021.8,22020.006,22020.74,22020.191,22020.014,22020.012,22020.0,22026.732,22021.871,22023.137,22020.084,22019.984,22019.926,22022.46,22022.94,22021.389,22021.006,22020.803,22021.477,22020.443,22020.857,22019.81,22023.266,22020.66,22021.13,22020.229,22021.453,22020.104,22020.283,22022.56,22022.729,22023.762,22020.414,22021.082,22020.334,22024.807,22023.002,22020.412,22023.738,22024.66
2023-08-28,21637.963,21636.145,21637.545,21634.973,21642.74,21637.148,21639.568,21653.398,21641.215,21644.79,21639.215,21637.236,21632.611,21635.125,21633.082,21633.951,21636.098,21638.055,21645.713,21638.775,21644.672,21637.133,21635.594,21634.291,21637.658,21644.314,21643.51,21635.383,21639.654,21638.783,21638.02,21637.443,21632.31,21647.635,21633.617,21639.172,21639.676,21641.064,21635.08,21633.79,21646.074,21643.994,21647.469,21637.111,21640.822,21637.79,21643.127,21640.531,21637.2,21649.291,21641.672
2023-08-29,21326.654,21324.674,21326.352,21325.36,21336.562,21327.666,21348.318,21347.02,21327.764,21345.645,21336.178,21338.705,21319.42,21325.941,21324.332,21317.863,21324.318,21329.32,21353.086,21325.736,21348.889,21323.518,21321.209,21333.836,21335.25,21344.557,21349.871,21327.926,21332.352,21335.354,21326.3,21325.355,21318.1,21351.062,21315.137,21332.885,21331.766,21341.818,21349.398,21316.084,21357.885,21348.002,21351.908,21325.035,21339.3,21327.508,21340.771,21342.516,21346.303,21350.76,21335.31
2023-08-30,21091.066,21091.922,21083.113,21096.059,21105.36,21090.678,21157.832,21121.26,21087.346,21125.436,21116.06,21117.867,21079.066,21101.682,21102.496,21077.127,21085.191,21096.912,21124.236,21085.598,21127.348,21076.096,21082.418,21117.924,21111.412,21134.652,21147.621,21108.031,21110.586,21118.33,21084.16,21103.71,21079.854,21137.941,21061.875,21105.475,21097.547,21131.432,21140.764,21067.475,21164.79,21150.547,21140.727,21086.492,21113.354,21089.162,21115.697,21117.455,21144.566,21135.836,21095.842
2023-08-31,20874.314,20882.785,20848.545,20877.967,20891.775,20867.484,20999.049,20914.383,20869.197,20916.03,20920.105,20913.098,20846.748,20900.062,20901.969,20842.613,20851.672,20872.209,20899.541,20863.889,20926.488,20833.465,20857.143,20921.586,20904.482,20948.45,20988.04,20902.879,20917.22,20946.582,20851.178,20908.412,20857.822,20940.342,20817.66,20902.924,20880.08,20942.797,20935.223,20827.115,21003.361,20995.45,20946.596,20861.783,20900.871,20863.96,20905.047,20908.756,20971.848,20947.09,20864.426
2023-09-01,20599.111,20621.115,20557.016,20604.137,20614.164,20584.326,20780.293,20639.049,20588.52,20628.137,20666.287,20649.44,20545.004,20649.322,20623.748,20533.012,20545.799,20573.123,20609.402,20582.215,20681.592,20513.979,20572.34,20652.477,20653.99,20702.385,20773.799,20627.633,20662.092,20740.387,20554.268,20646.912,20560.414,20677.873,20503.729,20642.322,20591.592,20679.22,20667.836,20518.588,20796.656,20781.39,20686.793,20561.412,20619.594,20578.842,20636.451,20644.693,20746.436,20721.049,20568.746
2023-09-02,20252.686,20288.814,20189.021,20277.428,20254.037,20219.688,20485.357,20273.664,20214.994,20229.205,20335.674,20322.213,20182.625,20345.014,20238.092,20131.701,20158.512,20192.992,20240.963,20225.164,20360.814,20094.957,20205.705,20307.955,20335.193,20364.08,20475.137,20261.115,20321.625,20449.43,20178.516,20294.629,20166.773,20343.521,20110.693,20319.049,20214.8,20316.186,20319.09,20122.713,20527.994,20479.293,20339.662,20174.717,20258.941,20217.594,20308.021,20306.13,20434.088,20447.186,20195.955
2023-09-03,19861.002,19938.195,19776.955,19945.896,19842.541,19802.293,20123.338,19847.158,19788.482,19760.078,19983.814,19987.271,19846.916,19991.697,19788.543,19668.646,19743.861,19755.855,19841.492,19824.41,19975.174,19612.28,19792.61,19919.525,19966.531,19968.895,20122.127,19840.28,19923.14,20099.28,19752.51,19899.088,19731.836,19972.727,19657.982,19961.4,19791.975,19888.453,19949.18,19685.543,20232.197,20132.715,19956.25,19735.553,19854.209,19809.205,19968.758,19931.535,20062.371,20160.375,19770.234
2023-09-04,19447.143,19597.832,19360.457,19614.217,19434.26,19362.615,19727.867,19404.975,19343.416,19274.457,19676.893,19658.31,19650.926,19634.607,19331.182,19189.602,19327.145,19309.805,19484.33,19413.201,19561.918,19115.785,19370.178,19515.812,19577.635,19559.617,19758.045,19398.666,19507.098,19736.72,19299.74,19496.44,19301.748,19587.365,19190.977,19605.805,19370.379,19436.86,19605.973,19254.709,19946.068,19778.66,19603.955,19286.092,19440.31,19395.105,19633.572,19565.14,19670.285,19905.758,19328.883
