datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-09-01,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336,20548.336
2023-09-02,20209.902,20212.959,20199.803,20203.037,20207.41,20210.654,20198.436,20197.75,20197.76,20198.135,20210.027,20199.938,20201.82,20207.957,20223.277,20195.686,20199.924,20210.541,20218.145,20196.445,20202.994,20203.65,20207.236,20203.61,20204.602,20206.752,20199.424,20206.229,20215.824,20206.916,20201.062,20214.76,20203.477,20204.574,20202.867,20206.17,20202.771,20198.422,20199.424,20215.066,20210.248,20217.637,20215.049,20208.111,20205.531,20209.98,20217.072,20208.383,20218.824,20211.438,20210.844
2023-09-03,19833.441,19849.367,19823.91,19827.447,19831.916,19842.916,19809.615,19808.008,19803.047,19810.482,19825.465,19806.238,19814.918,19824.723,19857.57,19799.426,19814.424,19831.52,19851.754,19799.365,19816.4,19822.332,19832.11,19822.611,19821.51,19829.73,19807.81,19818.588,19851.135,19828.941,19818.043,19837.754,19805.553,19826.648,19815.47,19827.295,19831.326,19807.441,19814.867,19843.393,19837.717,19842.158,19845.207,19840.967,19819.459,19834.295,19861.238,19822.236,19849.188,19841.486,19845.639
2023-09-04,19450.143,19484.76,19452.707,19458.096,19456.121,19472.842,19418.822,19422.86,19406.398,19422.732,19436.146,19410.16,19430.652,19443.04,19483.285,19399.803,19428.86,19444.98,19476.104,19396.45,19429.537,19444.492,19462.662,19447.666,19434.19,19452.072,19415.24,19425.977,19488.6,19444.94,19440.945,19461.54,19404.316,19449.97,19429.56,19450.084,19475.299,19423.594,19428.64,19463.016,19473.67,19466.984,19467.191,19472.06,19432.756,19458.275,19494.07,19435.557,19480.729,19478.584,19475.477
2023-09-05,19093.678,19138.55,19104.217,19115.807,19102.637,19120.496,19044.553,19057.254,19035.162,19055.299,19074.031,19029.656,19069.691,19094.506,19123.826,19022.059,19060.104,19085.254,19121.88,19015.45,19070.14,19087.373,19118.754,19104.506,19063.818,19099.773,19043.639,19053.713,19155.168,19086.447,19086.867,19107.219,19029.0,19106.781,19068.348,19117.436,19154.594,19066.535,19062.777,19092.14,19124.541,19116.383,19101.146,19128.213,19072.734,19102.252,19158.703,19074.484,19139.29,19151.959,19129.09
2023-09-06,18777.08,18832.174,18806.36,18816.275,18784.93,18797.906,18701.18,18730.438,18710.69,18736.533,18775.73,18684.34,18731.205,18778.6,18791.201,18676.168,18717.92,18788.24,18815.29,18681.672,18752.363,18769.477,18824.486,18834.836,18746.836,18782.762,18707.453,18717.434,18860.396,18777.043,18765.123,18797.033,18701.533,18805.965,18745.66,18824.197,18856.229,18749.979,18728.385,18747.777,18800.791,18801.14,18773.29,18834.451,18754.37,18773.14,18878.67,18762.748,18831.725,18874.645,18824.25
2023-09-07,18494.703,18567.318,18565.834,18552.947,18529.217,18513.807,18385.516,18426.129,18424.076,18478.672,18512.05,18374.621,18406.023,18486.879,18488.55,18362.162,18410.85,18540.613,18568.004,18386.312,18464.43,18493.588,18579.742,18618.986,18476.455,18495.906,18407.111,18420.62,18601.959,18495.254,18484.459,18523.967,18412.068,18542.643,18461.422,18566.293,18582.377,18472.88,18427.184,18454.092,18509.092,18546.027,18501.883,18580.965,18484.96,18464.83,18654.014,18487.836,18579.695,18634.268,18565.715
2023-09-08,18237.715,18332.94,18352.787,18311.303,18315.129,18264.197,18083.676,18130.994,18165.594,18280.443,18271.584,18092.652,18089.836,18199.42,18206.645,18068.771,18132.414,18321.48,18355.45,18112.736,18197.64,18239.285,18378.27,18451.477,18222.594,18224.334,18125.947,18160.43,18388.445,18226.348,18219.715,18269.605,18144.672,18309.82,18204.4,18347.355,18341.06,18218.676,18151.875,18210.967,18228.291,18355.176,18271.555,18356.02,18255.902,18166.412,18474.465,18219.557,18361.785,18418.754,18344.443
2023-09-09,17996.395,18105.75,18146.086,18085.44,18147.566,18054.955,17792.143,17849.965,17936.582,18126.518,18031.572,17832.129,17774.904,17901.584,17933.363,17780.758,17879.045,18116.283,18161.834,17835.502,17938.828,17987.697,18219.508,18316.18,17961.246,17960.922,17849.186,17927.332,18226.445,17952.26,17962.523,18025.674,17901.082,18098.486,17965.305,18140.615,18133.97,17990.47,17886.541,18006.742,17944.098,18184.44,18075.31,18147.33,18049.902,17877.908,18369.611,17951.26,18158.02,18234.072,18143.467
2023-09-10,17775.498,17887.943,17953.201,17872.54,18031.197,17897.81,17515.04,17584.068,17742.432,18003.523,17808.328,17592.553,17462.543,17605.072,17673.611,17505.17,17667.12,17915.574,18002.123,17569.266,17692.55,17726.934,18114.924,18214.127,17703.867,17717.24,17579.549,17726.059,18126.78,17667.91,17708.781,17806.963,17691.422,17924.31,17762.66,17957.96,17963.559,17802.521,17630.365,17838.973,17657.703,18034.701,17921.2,17969.537,17863.197,17607.244,18373.258,17695.305,17983.55,18087.465,17950.498
